Flow 60,Head 60,Overall Eff 60,Power input 60,Flow 55,Head 55,Overall Eff 55,Power input 55,Flow 50,Head 50,Overall Eff 50,Power input 50,Flow 45,Head 45,Overall Eff 45,Power input 45,Flow 40,Head 40,Overall Eff 40,Power input 40
0,11,0.01,2.15,0,10.24,0.01,1.93,0,8.46,0.01,1.47,0,6.85,0.01,1.11,0,5.41,0.01,0.84
1,10.57,4.5,2.12,1,9.83,5.02,1.91,1,8.093,5.437,1.456,0.99,6.53,5.73,1.1,0.88,5.16,5.34,0.83
2,10.23,9,2.11,2,9.49,9.738,1.904,2,7.794,10.5,1.452,1.97,6.27,11.01,1.1,1.75,4.95,10.25,0.83
3,9.9,13.7,2.12,3,9.205,14.136,1.908,3,7.541,15.175,1.457,2.96,6.05,15.86,1.11,2.63,4.78,14.75,0.83
4,9.65,17.6,2.13,4,8.95,18.222,1.92,4,7.319,19.476,1.469,3.94,5.86,20.27,1.12,3.5,4.63,18.89,0.84
5,9.41,21.5,2.15,5,8.718,22.01,1.938,5,7.116,23.434,1.485,4.92,5.69,24.32,1.13,4.38,4.5,22.68,0.85
6,9.18,24.6,2.175,6,8.5,25.506,1.96,6,6.925,27.067,1.502,5.91,5.52,28.01,1.14,5.25,4.37,26.15,0.86
7,8.96,27.5,2.2,7,8.298,28.685,1.984,7,6.742,30.394,1.521,6.89,5.37,31.36,1.16,6.13,4.24,29.32,0.87
8,8.75,31,2.22,8,8.099,31.623,2.007,8,6.564,33.441,1.539,7.88,5.21,34.4,1.17,7,4.12,32.2,0.88
9,8.55,33.5,2.24,9,7.903,34.33,2.03,9,6.388,36.213,1.556,8.86,5.05,37.13,1.18,7.88,3.99,34.8,0.89
10,8.35,36,2.265,10,7.71,36.813,2.053,10,6.214,38.718,1.573,9.85,4.9,39.55,1.2,8.75,3.87,37.11,0.9
11,8.15,38.4,2.295,11,7.518,39.077,2.075,11,6.04,40.964,1.59,10.83,4.75,41.68,1.21,9.63,3.75,39.15,0.9
12,7.97,40.4,2.31,12,7.328,41.116,2.097,12,5.867,42.927,1.608,11.82,4.59,43.49,1.22,10.5,3.63,40.9,0.91
13,7.76,42,2.335,13,7.137,42.893,2.12,13,5.692,44.611,1.625,12.8,4.43,44.99,1.24,11.38,3.5,42.36,0.92
14,7.55,43.6,2.36,14,6.945,44.452,2.143,14,5.514,46.029,1.644,13.79,4.27,46.19,1.25,12.25,3.38,43.53,0.93
15,7.35,45,2.39,15,6.75,45.795,2.166,15,5.333,47.18,1.662,14.77,4.11,47.09,1.26,13.13,3.25,44.42,0.94
16,7.16,46.6,2.42,16,6.553,46.922,2.19,16,5.148,48.079,1.679,15.76,3.94,47.71,1.28,14,3.11,45.04,0.95
17,6.95,47.8,2.435,17,6.352,47.838,2.213,17,4.958,48.733,1.695,16.74,3.76,48.07,1.29,14.88,2.97,45.42,0.96
18,6.23,48.3,2.46,18,6.147,48.538,2.236,18,4.764,49.159,1.71,17.72,3.59,48.19,1.29,15.75,2.84,45.57,0.96
19,6.52,48.9,2.485,19,5.936,49.011,2.256,19,4.567,49.382,1.723,18.71,3.41,48.11,1.3,16.63,2.7,45.51,0.97
20,6.3,49.1,2.51,20,5.722,49.312,2.275,20,4.369,49.419,1.733,19.69,3.24,47.85,1.31,17.51,2.56,45.28,0.97
21,6.09,49.5,2.535,21,5.505,49.457,2.291,21,4.17,49.288,1.742,20.68,3.06,47.41,1.31,18.38,2.42,44.88,0.97
22,5.85,49.6,2.56,22,5.286,49.46,2.305,22,3.973,49.008,1.748,21.66,2.9,46.79,1.31,19.26,2.29,44.31,0.98
23,5.63,49.8,2.565,23,5.067,49.334,2.316,23,3.778,48.579,1.754,22.65,2.73,45.98,1.32,20.13,2.16,43.55,0.98
24,5.4,49.2,2.58,24,4.85,49.079,2.325,24,3.588,47.988,1.759,23.63,2.56,44.91,1.32,21.01,2.03,42.56,0.98
25,5.19,48.9,2.595,25,4.636,48.692,2.333,25,3.4,47.223,1.765,24.62,2.4,43.55,1.33,21.88,1.89,41.29,0.98
26,4.97,48.5,2.6,26,4.425,48.185,2.34,26,3.213,46.249,1.771,25.6,2.22,41.88,1.33,22.76,1.76,39.7,0.99
27,4.74,48,2.61,27,4.217,47.454,2.348,27,3.025,45.041,1.777,26.59,2.04,39.89,1.33,23.63,1.61,37.82,0.99
28,4.51,47.2,2.615,28,4.011,46.757,2.355,28,2.83,43.569,1.783,27.57,1.85,37.68,1.33,24.51,1.47,35.73,0.99
29,4.31,46.6,2.624,29,3.806,45.797,2.364,29,2.629,41.831,1.786,28.55,1.68,35.51,1.33,25.38,1.33,33.66,0.98
30,4.1,45.7,2.63,30,3.597,44.623,2.372,30,2.422,39.875,1.786,,,,,,,,
31,3.87,44.7,2.638,31,3.382,43.204,2.378,31,2.218,37.83,1.782,,,,,,,,
32,3.65,43.4,2.645,32,3.159,41.581,2.382,,,,,,,,,,,,
33,3.43,41.8,2.65,33,2.931,39.8,2.381,,,,,,,,,,,,
34,3.2,40,2.655,34,2.705,37.948,2.376,,,,,,,,,,,,
35,2.96,38,2.652,35,2.513,36.3,2.373,,,,,,,,,,,,
36,2.73,35.9,2.648,36,2.3,34.483,2.37,,,,,,,,,,,,
